X--Trace 1::[AC: FREQUENCY],Mag: PR2: V(Vo),Phase: PR2: V(Vo),,X--Trace 2::[AC: FREQUENCY],Mag: PR1: V(Vi),Phase: PR1: V(Vi)
1,1.99998308276892,0.11582220959777982,,1,1,0
1.2589254117941673,1.9999966230562707,0.1458100521995715,,1.2589254117941673,1,0
1.5848931924611136,2.0000180828748357,0.18356104559066977,,1.5848931924611136,1,0
1.99526231496888,2.0000520941674176,0.23108381010247242,,1.99526231496888,1,0
2.5118864315095806,2.0001059978613807,0.29090559931882004,,2.5118864315095806,1,0
3.16227766016838,2.0001914280219735,0.3662051450851026,,3.16227766016838,1,0
3.9810717055349736,2.0003268220926396,0.4609784648595082,,3.9810717055349736,1,0
5.011872336272725,2.0005413981687252,0.5802447402850965,,5.011872336272725,1,0
6.309573444801935,2.000881455566422,0.7302998014808432,,6.309573444801935,1,0
7.9432823472428185,2.0014203530598684,0.9190238878793384,,7.9432823472428185,1,0
10.000000000000005,2.0022743045287372,1.1562464958391385,,10.000000000000005,1,0
12.58925411794168,2.0036273662707194,1.4541607894921278,,12.58925411794168,1,0
15.848931924611145,2.0057709213144452,1.8277563083661497,,15.848931924611145,1,0
19.95262314968881,2.0091659632656325,2.2951879836727738,,19.95262314968881,1,0
25.118864315095824,2.014541075886625,2.8778958645874346,,25.118864315095824,1,0
31.622776601683825,2.023045901707456,3.6000857044635017,,31.622776601683825,1,0
39.81071705534977,2.0364898983091395,4.486792571972734,,39.81071705534977,1,0
50.11872336272729,2.057709846941434,5.559047416583539,,50.11872336272729,1,0
63.0957344480194,2.091126185931306,6.823484283337116,,63.0957344480194,1,0
79.43282347242825,2.1435632206762336,8.251958645799151,,79.43282347242825,1,0
100.00000000000014,2.225406443575871,9.744617790263609,,100.00000000000014,1,0
125.89254117941691,2.3521030443467708,11.06829132062188,,125.89254117941691,1,0
158.4893192461116,2.5456944136481305,11.762423328914505,,158.4893192461116,1,0
199.52623149688827,2.8346819345543035,11.007521940611776,,199.52623149688827,1,0
251.18864315095843,3.2445424908240152,7.465408854386329,,251.18864315095843,1,0
316.2277660168385,3.750265998721553,-0.7641358773115794,,316.2277660168385,1,0
398.10717055349795,4.14413517987495,-15.230713972703157,,398.10717055349795,1,0
501.1872336272732,4.026583095055365,-33.97007786032015,,501.1872336272732,1,0
630.9573444801945,3.3827474766158936,-50.99868362408209,,630.9573444801945,1,0
794.3282347242831,2.6368616760788033,-63.0250881808873,,794.3282347242831,1,0
1000.000000000002,2.0218871819870405,-70.81744139422018,,1000.000000000002,1,0
1258.9254117941698,1.5575435532847335,-75.91774376007459,,1258.9254117941698,1,0
1584.8931924611168,1.209940799566586,-79.39406838802891,,1584.8931924611168,1,0
1995.2623149688839,0.9466796145518718,-81.86529205623359,,1995.2623149688839,1,0
2511.8864315095857,0.7445521665531436,-83.6836056907816,,2511.8864315095857,1,0
3162.2776601683863,0.5876429009543107,-85.05603658397109,,3162.2776601683863,1,0
3981.0717055349814,0.4648726057499259,-86.11054265889815,,3981.0717055349814,1,0
5011.872336272734,0.3682999184254363,-86.93062346733481,,5011.872336272734,1,0
6309.5734448019475,0.2920676343612611,-87.57359734865628,,6309.5734448019475,1,0
7943.2823472428345,0.23175483907107544,-88.08052429398893,,7943.2823472428345,1,0
10000.000000000025,0.1839676152294231,-88.48181114048076,,10000.000000000025,1,0
12589.254117941706,0.14606958203505038,-88.80053533961421,,12589.254117941706,1,0
15848.931924611177,0.11599656079460272,-89.05452518423823,,15848.931924611177,1,0
19952.62314968885,0.09212398468931642,-89.25773488718586,,19952.62314968885,1,0
25118.86431509587,0.07316898108900048,-89.42120070778664,,25118.86431509587,1,0
31622.776601683883,0.05811632487326973,-89.55373532991122,,31622.776601683883,1,0
39810.71705534984,0.04616149838593426,-89.66245059166822,,39810.71705534984,1,0
50118.72336272738,0.036666405372505206,-89.75316298038807,,50118.72336272738,1,0
63095.734448019524,0.029124666609339475,-89.83071679128282,,63095.734448019524,1,0
79432.82347242841,0.023134290661640758,-89.89924882185167,,79432.82347242841,1,0
100000.00000000033,0.018376084549956928,-89.9624120348923,,100000.00000000033,1,0
125892.54117941715,0.01459656441901913,-90.02357177133476,,125892.54117941715,1,0
158489.3192461119,0.011594410915174094,-90.08598579578329,,158489.3192461119,1,0
199526.23149688868,0.009209725299666993,-90.15297817439404,,199526.23149688868,1,0
251188.64315095893,0.007315502781650332,-90.22811643837083,,251188.64315095893,1,0
316227.76601683913,0.005810863298221949,-90.31540153960363,,316227.76601683913,1,0
398107.1705534988,0.0046156764006277115,-90.41948070019554,,398107.1705534988,1,0
501187.2336272742,0.003666292571230535,-90.54589438383678,,501187.2336272742,1,0
630957.3444801958,0.002912152931240138,-90.70137028805533,,630957.3444801958,1,0
794328.2347242847,0.0023130964346738327,-90.89417948896721,,794328.2347242847,1,0
1000000.0000000041,0.0018372209674010417,-91.13457264892972,,1000000.0000000041,1,0
