X--Trace 1::[AC: FREQUENCY],Mag: PR2: V(Vo),Phase: PR2: V(Vo),,X--Trace 2::[AC: FREQUENCY],Mag: PR1: V(Vi),Phase: PR1: V(Vi)
1,2.0000265677439297,0.19654120879698586,,1,1,0
1.2589254117941673,2.0000655591495518,0.24742353550927307,,1.2589254117941673,1,0
1.5848931924611136,2.0001273556109505,0.3114734375235385,,1.5848931924611136,1,0
1.99526231496888,2.000225294513283,0.392093217711399,,1.99526231496888,1,0
2.5118864315095806,2.0003805124692806,0.4935590409965248,,2.5118864315095806,1,0
3.16227766016838,2.000626504437706,0.6212401580937119,,3.16227766016838,1,0
3.9810717055349736,2.0010163455166663,0.781867896210173,,3.9810717055349736,1,0
5.011872336272725,2.0016341268715374,0.9838603668157688,,5.011872336272725,1,0
6.309573444801935,2.002613055773436,1.2377035357006791,,6.309573444801935,1,0
7.9432823472428185,2.0041640803733975,1.556375932322799,,7.9432823472428185,1,0
10.000000000000005,2.0066211021531397,1.9557743612350873,,10.000000000000005,1,0
12.58925411794168,2.010512246495038,2.455035029881046,,12.58925411794168,1,0
15.848931924611145,2.0166718578776646,3.076517322485216,,15.848931924611145,1,0
19.95262314968881,2.026415622538321,3.8449693276449364,,19.95262314968881,1,0
25.118864315095824,2.0418122842748545,4.784928848805377,,25.118864315095824,1,0
31.622776601683825,2.066100136377443,5.914586526591282,,31.622776601683825,1,0
39.81071705534977,2.1043133614942353,7.232985034677416,,39.81071705534977,1,0
50.11872336272729,2.164195670172769,8.695505257069772,,50.11872336272729,1,0
63.0957344480194,2.2574653320448768,10.170493342960935,,63.0957344480194,1,0
79.43282347242825,2.4013860110119616,11.368751345462938,,79.43282347242825,1,0
100.00000000000014,2.6201068907824996,11.738677775720113,,100.00000000000014,1,0
125.89254117941691,2.9430820734584078,10.323705662041778,,125.89254117941691,1,0
158.4893192461116,3.3888644605335805,5.6072699364338225,,158.4893192461116,1,0
199.52623149688827,3.895705495613877,-4.389988950038984,,199.52623149688827,1,0
251.18864315095843,4.1773431610068945,-20.582698481107826,,251.18864315095843,1,0
316.2277660168385,3.8728377126581464,-39.45705571280972,,316.2277660168385,1,0
398.10717055349795,3.1553316275713876,-55.09906028014337,,398.10717055349795,1,0
501.1872336272732,2.437604369340315,-65.70358465173668,,501.1872336272732,1,0
630.9573444801945,1.8697084183625234,-72.5522811491596,,630.9573444801945,1,0
794.3282347242831,1.4438596394858143,-77.08320011786954,,794.3282347242831,1,0
1000.000000000002,1.12424337611716,-80.2116735598965,,1000.000000000002,1,0
1258.9254117941698,0.8811609254929562,-82.46050615852852,,1258.9254117941698,1,0
1584.8931924611168,0.6938518912425199,-84.12914330389145,,1584.8931924611168,1,0
1995.2623149688839,0.548060674241472,-85.39605049429598,,1995.2623149688839,1,0
2511.8864315095857,0.4337822959417735,-86.37331438558664,,2511.8864315095857,1,0
3162.2776601683863,0.34378136433327056,-87.1352220548035,,3162.2776601683863,1,0
3981.0717055349814,0.2726811830547031,-87.73345388824588,,3981.0717055349814,1,0
5011.872336272734,0.2164005388974483,-88.2054197034339,,5011.872336272734,1,0
6309.5734448019475,0.17179380944178485,-88.57903114323253,,6309.5734448019475,1,0
7943.2823472428345,0.13641089903367967,-88.87557501069982,,7943.2823472428345,1,0
10000.000000000025,0.10833007185634315,-89.11153982139442,,10000.000000000025,1,0
12589.254117941706,0.08603712296506744,-89.29984046791618,,12589.254117941706,1,0
15848.931924611177,0.06833544349809535,-89.45067946341184,,15848.931924611177,1,0
19952.62314968885,0.054277627222073896,-89.57217713451598,,19952.62314968885,1,0
25118.86431509587,0.04311267427701363,-89.67084757406215,,25118.86431509587,1,0
31622.776601683883,0.03424482224828244,-89.75196734227951,,31622.776601683883,1,0
39810.71705534984,0.027201230225541013,-89.81986738719664,,39810.71705534984,1,0
50118.72336272738,0.021606502795284154,-89.87816915740588,,50118.72336272738,1,0
63095.734448019524,0.01716255073298624,-89.92998019986442,,63095.734448019524,1,0
79432.82347242841,0.013632642412966333,-89.97806102091667,,79432.82347242841,1,0
100000.00000000033,0.010828759768957003,-90.02497277815426,,100000.00000000033,1,0
125892.54117941715,0.008601566992776317,-90.07321400826842,,125892.54117941715,1,0
158489.3192461119,0.006832448508702389,-90.12535383940252,,158489.3192461119,1,0
199526.23149688868,0.005427187575706667,-90.18416885958099,,199526.23149688868,1,0
251188.64315095893,0.004310946553946703,-90.25279095626487,,251188.64315095893,1,0
316227.76601683913,0.0034242803505507846,-90.3348739881796,,316227.76601683913,1,0
398107.1705534988,0.002719970161841673,-90.4347881094139,,398107.1705534988,1,0
501187.2336272742,0.0021605086044195906,-90.55785196662178,,501187.2336272742,1,0
630957.3444801958,0.0017161021624959843,-90.71061487200177,,630957.3444801958,1,0
794328.2347242847,0.0013630845011748007,-90.90120345092407,,794328.2347242847,1,0
1000000.0000000041,0.0010826561124070513,-91.13975017010725,,1000000.0000000041,1,0
