X--Trace 1::[interactive: TIME],Y--Trace 1::[PR2: V(Vo)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[PR1: V(Vi)]
0,0.00030989513920876683,,0,0
6.250000000000001e-8,-0.00820472693785018,,6.250000000000001e-8,0.001963494146845236
9.015397338213919e-8,-0.012400414519049566,,9.015397338213919e-8,0.0028322668180631146
1.4546192014641754e-7,-0.021011794517498884,,1.4546192014641754e-7,0.004569805091644103
2.5607781367497425e-7,-0.038428884918926806,,2.5607781367497425e-7,0.008044835003249842
4.773096007320877e-7,-0.07314427616840234,,4.773096007320877e-7,0.014994561406240467
9.197731748463145e-7,-0.14265562589086372,,9.197731748463145e-7,0.028891505598231625
0.0000018047003230747683,-0.28149890171395875,,0.0000018047003230747683,0.05666596283459843
0.0000034860619047088305,-0.54467483112071,,0.0000034860619047088305,0.1092990667729764
0.000006848785067976954,-1.0657107605225637,,0.000006848785067976954,0.21350464893755877
0.000013098785067976955,-1.9982183362552957,,0.000013098785067976955,0.39999415568423524
0.000019348785067976955,-2.853929324413118,,0.000019348785067976955,0.5711121113472732
0.000025598785067976954,-3.5999478034279044,,0.000025598785067976954,0.7202825488545975
0.000031848785067976953,-4.207616060000593,,0.000031848785067976953,0.8417729319485469
0.000038098785067976956,-4.653570454616718,,0.000038098785067976956,0.9309144533394123
0.00004434878506797696,-4.920684430327668,,0.00004434878506797696,0.984281454351284
0.00005059878506797696,-4.9986817949400395,,0.00005059878506797696,0.9998230710638348
0.000056848785067976965,-4.88457623736039,,0.000056848785067976965,0.9769420478626404
0.00006309878506797696,-4.582741753892214,,0.00006309878506797696,0.9165176896374972
0.00006934878506797696,-4.104788623555932,,0.00006934878506797696,0.8208720705886268
0.00007559878506797697,-3.4690734348015564,,0.00007559878506797697,0.693680798217396
0.00008184878506797697,-2.700037181754807,,0.00008184878506797697,0.5398317617913446
0.00008809878506797697,-1.8272227463743969,,0.00008809878506797697,0.36523729350079115
0.00009434878506797698,-0.8841825823300614,,0.00009434878506797698,0.1766069608484367
0.00010059878506797698,0.09285342496761735,,0.00010059878506797698,-0.018810278266998947
0.00010684878506797698,1.0663277752256102,,0.00010684878506797698,-0.21350464893755897
0.00011309878506797698,1.9988408851800072,,0.00011309878506797698,-0.39999415568423635
0.00011934878506797699,2.8545463728710803,,0.00011934878506797699,-0.5711121113472741
0.00012559878506797698,3.60057031880358,,0.00012559878506797698,-0.7202825488545979
0.00013184878506797697,4.208233141802958,,0.00013184878506797697,-0.8417729319485471
