X--Trace 1::[interactive: TIME],Y--Trace 1::[PR2: V(Vo)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[PR1: V(Vi)]
0,0.0001614891360072825,,0,0
6.250000000000001e-8,0.006545533360523835,,6.250000000000001e-8,0.001963494146845236
1.069949639962817e-7,0.011455083076504016,,1.069949639962817e-7,0.0033613395988452643
1.959848919888451e-7,0.021356294574228843,,1.959848919888451e-7,0.006157008067458933
3.739647479739719e-7,0.04118758193245553,,3.739647479739719e-7,0.011748178785885159
7.299244599442254e-7,0.0808207756643727,,7.299244599442254e-7,0.02292924355909776
0.0000014418438838847326,0.16007489315717147,,0.0000014418438838847326,0.045281373061894406
0.000002865682731765747,0.3182814467546042,,0.000002865682731765747,0.08990651369904577
0.000005713360427527775,0.6324914243943998,,0.000005713360427527775,0.17852829312901283
0.000011408715819051833,1.2432440344891116,,0.000011408715819051833,0.35079074895198736
0.000017658715819051832,1.8671221372815607,,0.000017658715819051832,0.5267434901056722
0.000023908715819051832,2.419237355210363,,0.000023908715819051832,0.6824537743357487
0.00003015871581905183,2.8784054183448373,,0.00003015871581905183,0.8119377427425882
0.000036408715819051834,3.226947667148738,,0.000036408715819051834,0.9102193990357621
0.00004265871581905184,3.4515027873823763,,0.00004265871581905184,0.9735218342809114
0.00004890871581905184,3.5434084018160696,,0.00004890871581905184,0.9994123713919798
0.00005515871581905184,3.499165360523139,,0.00005515871581905184,0.9868960515473694
0.00006140871581905184,3.320441285642101,,0.00006140871581905184,0.9364538698994754
0.00006765871581905184,3.0141369385260637,,0.00006765871581905184,0.8500242912007253
0.00007390871581905184,2.59199104538866,,0.00007390871581905184,0.7309287556902456
0.00008015871581905185,2.07025869733667,,0.00008015871581905185,0.5837440380081583
0.00008640871581905185,1.4689576312101171,,0.00008640871581905185,0.41412636431284544
0.00009265871581905185,0.8112275384210454,,0.00009265871581905185,0.22859404668173108
0.00009890871581905186,0.1223127045531795,,0.00009890871581905186,0.034276988033655656
0.00010515871581905186,-0.5712804618669467,,0.00010515871581905186,-0.16135731604179634
0.00011140871581905186,-1.2429292474361777,,0.00011140871581905186,-0.3507907489519879
0.00011765871581905186,-1.8667909973628196,,0.00011765871581905186,-0.5267434901056733
0.00012390871581905187,-2.4189225091194966,,0.00012390871581905187,-0.6824537743357495
0.00013015871581905186,-2.878074337250887,,0.00013015871581905186,-0.8119377427425888
0.00013640871581905185,-3.22663276244545,,0.00013640871581905185,-0.9102193990357622
0.00014265871581905183,-3.4511717646892386,,0.00014265871581905183,-0.9735218342809113
